sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.472,14202.402,433.491,33311.58,590.138,326575,25095645,444587
Burst Shot,184.6067,28807.205,53.909,7059.037,168.875,40613,5318003,127224
Refulgent Arrow,91.741,40693.387,34.097,4955.462,232.294,25687,3733252,175001
Shot,248.0,9378.19,26.335,3087.22,53.557,19840,2325791,40348
Heartbreak Shot,89.9541,25680.708,21.492,3066.372,120.27,16191,2310085,90607
Pitch Perfect,32.5179,54783.396,14.315,2364.658,205.855,10784,1781441,155083
Empyreal Arrow,49.0,36168.694,16.911,2352.479,91.997,12740,1772266,69307
Radiant Encore,7.0,209914.571,9.69,1950.462,202.351,7300,1469402,152443
Apex Arrow,12.0,111481.583,10.853,1775.748,333.621,8176,1337779,251337
Blast Arrow,11.6523,114713.833,10.826,1774.289,145.307,8156,1336680,109469
Stormbite (dot),251.0,3665.625,8.329,1221.29,21.246,6275,920072,16006
Resonant Arrow,7.0,128900.857,5.947,1197.707,123.201,4480,902306,92815
Sidewinder,13.0,66380.923,6.902,1145.469,88.091,5200,862952,66364
Caustic Bite (dot),250.0,2934.2,6.637,973.703,16.979,5000,733550,12791
Iron Jaws,18.0,14502.167,2.389,346.499,22.479,1800,261039,16935
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
