sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Cascade,Dance of the Dawn,Double Standard Finish,Fan Dance,Fan Dance III,Fan Dance IV,Finishing Move,Fountain,Fountainfall,Last Dance,Quadruple Technical Finish,Reverse Cascade,Saber Dance,Starfall Dance,Tillana
-600,-70,Double Standard Finish,105090.0,0,0,0,105090,0,0,0,0,0,0,0,0,0,0,0,0
-70,688,Auto,10937.0,10937,0,0,105090,0,0,0,0,0,0,0,0,0,0,0,0
3050,3808,Auto,10937.0,21874,0,0,105090,0,0,0,0,0,0,0,0,0,0,0,0
6170,6928,Auto,13463.0,35337,0,0,105090,0,0,0,0,0,0,0,0,0,0,0,0
6400,6935,Quadruple Technical Finish,224792.0,35337,0,0,105090,0,0,0,0,0,0,0,224792,0,0,0,0
8525,9145,Fan Dance III,46016.0,35337,0,0,105090,0,46016,0,0,0,0,0,224792,0,0,0,0
7900,9150,Last Dance,112962.0,35337,0,0,105090,0,46016,0,0,0,0,112962,224792,0,0,0,0
9150,9470,Fan Dance IV,96229.0,35337,0,0,105090,0,46016,96229,0,0,0,112962,224792,0,0,0,0
9290,10048,Auto,16288.0,51625,0,0,105090,0,46016,96229,0,0,0,112962,224792,0,0,0,0
10400,11240,Tillana,105490.0,51625,0,0,105090,0,46016,96229,0,0,0,112962,224792,0,0,0,105490
10400,11290,Starfall Dance,24302.0,51625,0,0,105090,0,46016,96229,0,0,0,112962,224792,0,0,24302,105490
10400,12760,Dance of the Dawn,10334.0,51625,0,10334,105090,0,46016,96229,0,0,0,112962,224792,0,0,24302,105490
12410,13168,Auto,16288.0,67913,0,10334,105090,0,46016,96229,0,0,0,112962,224792,0,0,24302,105490
12900,13740,Tillana,6050.0,67913,0,10334,105090,0,46016,96229,0,0,0,112962,224792,0,0,24302,111540
12900,13790,Starfall Dance,264.0,67913,0,10334,105090,0,46016,96229,0,0,0,112962,224792,0,0,24566,111540
12900,14110,Fountainfall,2432.0,67913,0,10334,105090,0,46016,96229,0,0,2432,112962,224792,0,0,24566,111540
13550,14170,Fan Dance,666.0,67913,0,10334,105090,666,46016,96229,0,0,2432,112962,224792,0,0,24566,111540
14200,14820,Fan Dance III,404.0,67913,0,10334,105090,666,46420,96229,0,0,2432,112962,224792,0,0,24566,111540
12900,15260,Dance of the Dawn,191716.0,67913,0,202050,105090,666,46420,96229,0,0,2432,112962,224792,0,0,24566,111540
15530,16288,Auto,16288.0,84201,0,202050,105090,666,46420,96229,0,0,2432,112962,224792,0,0,24566,111540
15400,17450,Finishing Move,177821.0,84201,0,202050,105090,666,46420,96229,177821,0,2432,112962,224792,0,0,24566,111540
17900,18340,Saber Dance,17836.0,84201,0,202050,105090,666,46420,96229,177821,0,2432,112962,224792,0,17836,24566,111540
17900,18740,Tillana,5974.0,84201,0,202050,105090,666,46420,96229,177821,0,2432,112962,224792,0,17836,24566,117514
17900,18790,Starfall Dance,164337.0,84201,0,202050,105090,666,46420,96229,177821,0,2432,112962,224792,0,17836,188903,117514
