sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4477,13901.868,431.135,32551.321,567.579,324800,24522896,427592
Burst Shot,184.6848,28635.248,53.932,7019.868,167.882,40630,5288495,126476
Refulgent Arrow,91.66919999999999,39944.649,34.07,4860.477,229.486,25667,3661694,172886
Shot,248.0,9240.577,26.335,3041.919,52.469,19840,2291663,39528
Heartbreak Shot,89.93779999999998,25202.14,21.488,3008.684,117.184,16188,2266625,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.5099,52907.453,14.311,2283.123,197.831,10781,1720016,149038
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,12.000000000000002,107491.083,10.85,1712.184,316.012,8174,1289893,238071
Blast Arrow,11.645999999999999,110630.345,10.821,1710.204,139.314,8152,1288401,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
